Hole_Depth,Rotary_RPM,Differential_Pressure,Total_Pump_Output,Weight_on_Bit,Rotary_Torque,Standpipe_Pressure,Flow,Rate_Of_Penetration
203.02,0,0.1,126,41404.4224,101.891,123,28,0
203.02,0,4.5,126,41351.3675,101.891,128,28,0
203.02,0,11.9,126,41245.2576,101.891,135,28,0
203.02,0,17.4,126,41192.2027,101.891,141,28,0
203.02,0,35.5,126,41404.4224,101.891,159,28,0
203.02,0,53.7,129,41828.4122,101.891,177,31,0
203.02,0,29.4,126,41563.3623,99.77,153,31,0
203.02,0,27.1,126,41563.3623,101.891,150,31,0
203.02,0,27.5,126,41563.3623,101.891,151,31,0
203.02,0,28.2,126,41510.3074,101.891,151,31,0
203.02,0,28.9,126,41510.3074,99.77,152,31,0
203.02,0,29.1,126,41510.3074,99.77,152,31,0
203.02,0,29.5,126,41510.3074,99.77,153,31,0
203.02,0,33.6,126,41510.3074,101.891,157,31,0
203.02,0,33.4,126,41510.3074,101.891,157,31,0
203.02,0,30.9,126,41510.3074,99.77,154,31,0
203.02,0,32.2,126,41510.3074,101.891,155,31,0
203.02,0,95.6,126,41563.3623,101.891,219,31,0
203.02,0,196.2,126,41563.3623,101.891,320,31,0
203.02,0,192.9,129,41510.3074,101.891,316,31,0
203.02,0,137.7,126,41510.3074,101.891,261,31,0
203.02,0,123,126,41510.3074,101.891,246,31,0
203.02,0,136.5,151,41563.3623,101.891,260,31,0
203.02,0,311.9,226,41563.3623,101.891,435,31,0
203.02,0,370.9,239,41510.3074,101.891,494,34,0
203.02,0,430.4,258,41563.3623,101.891,554,38,0
203.02,0,430.9,258,41510.3074,101.891,554,39,0
203.02,0,427.4,258,41510.3074,101.891,551,39,0
203.02,0,110.8,129,41510.3074,101.891,234,39,0
203.02,0,109.3,129,41510.3074,101.891,233,39,0
203.02,0,41.9,126,41510.3074,101.891,165,39,0
203.02,0,29.9,126,41510.3074,101.891,153,39,0
203.02,0,31.8,126,41510.3074,101.891,155,39,0
203.02,0,139.3,126,41510.3074,101.891,263,39,0
203.02,0,148.5,126,41510.3074,101.891,272,39,0
203.02,0,143.6,126,41510.3074,101.891,267,39,0
203.02,0,142.7,126,41563.3623,101.891,266,39,0
203.02,0,148,126,41616.4173,101.891,271,39,0
203.02,0,148.3,126,41510.3074,101.891,272,39,0
203.02,0,147.4,126,41616.4173,101.891,271,39,0
203.02,0,146.5,126,41616.4173,101.891,270,39,0
203.02,0,145.3,126,41563.3623,101.891,269,39,0
203.02,0,145.2,126,41669.4722,101.891,269,39,0
203.02,0,143.5,126,41563.3623,101.891,267,39,0
203.02,0,142.8,126,41669.4722,101.891,266,39,0
203.02,0,143,126,41616.4173,101.891,266,39,0
203.02,0,142.8,126,41616.4173,101.891,266,39,0
203.02,0,142.6,126,41563.3623,101.891,266,39,0
203.02,0,142.5,126,41563.3623,101.891,266,39,0
203.02,0,142.4,126,41510.3074,101.891,266,39,0
